año,pob_1,pob_2,pob_3,pob_9,pob_4,pob_7,pob_8,pob_5,pob_6,pob_10,pob_total,pob_11,pob_12,pob_13,pob_14,pob_16,pob_17,pob_15,pob_18,pob_19,pob_20,pob_21,pob_22,pob_23,pob_24,pob_25,pob_26,pob_27,pob_28,pob_29,pob_30,pob_31,pob_32
2006m5,721751.2667,1927156.4,370295.6667,6497658.8,528529,2752432.4,2170559.533,1749212.267,407152.0667,1023064.133,71368100.27,3335859.067,2026507.6,1642337.733,4656003.533,2710825.533,1123791.333,9613412,673833.2,3040819.467,2352143.267,3597507.6,1104014.333,743418.8,1633454.133,1805583.867,1684772.667,1387672.333,2113807.2,735021.3333,5007322.067,1294028.4,938156.2
2006m6,723682.5333,1933715.55,372089.3333,6502610.1,529687.75,2760221.05,2173967.817,1752940.533,408469.1333,1025012.517,71528446.53,3345226.633,2031463.7,1647158.467,4666721.567,2717339.067,1126938.667,9636639,675842.65,3047418.183,2357593.783,3604931.2,1107785.167,747542.35,1636692.767,1809307.233,1689082.083,1391227.417,2117225.9,736644.9167,5016602.383,1296620.05,940049.9
2006m7,725613.8,1940274.7,373883,6507561.4,530846.5,2768009.7,2177376.1,1756668.8,409786.2,1026960.9,71688792.8,3354594.2,2036419.8,1651979.2,4677439.6,2723852.6,1130086,9659866,677852.1,3054016.9,2363044.3,3612354.8,1111556,751665.9,1639931.4,1813030.6,1693391.5,1394782.5,2120644.6,738268.5,5025882.7,1299211.7,941943.6
2006m8,727545.0667,1946833.85,375676.6667,6512512.7,532005.25,2775798.35,2180784.383,1760397.067,411103.2667,1028909.283,71849139.07,3363961.767,2041375.9,1656799.933,4688157.633,2730366.133,1133233.333,9683093,679861.55,3060615.617,2368494.817,3619778.4,1115326.833,755789.45,1643170.033,1816753.967,1697700.917,1398337.583,2124063.3,739892.0833,5035163.017,1301803.35,943837.3
2006m9,729476.3333,1953393,377470.3333,6517464,533164,2783587,2184192.667,1764125.333,412420.3333,1030857.667,72009485.33,3373329.333,2046332,1661620.667,4698875.667,2736879.667,1136380.667,9706320,681871,3067214.333,2373945.333,3627202,1119097.667,759913,1646408.667,1820477.333,1702010.333,1401892.667,2127482,741515.6667,5044443.333,1304395,945731
2006m10,731407.6,1959952.15,379264,6522415.3,534322.75,2791375.65,2187600.95,1767853.6,413737.4,1032806.05,72169831.6,3382696.9,2051288.1,1666441.4,4709593.7,2743393.2,1139528,9729547,683880.45,3073813.05,2379395.85,3634625.6,1122868.5,764036.55,1649647.3,1824200.7,1706319.75,1405447.75,2130900.7,743139.25,5053723.65,1306986.65,947624.7
2006m11,733338.8667,1966511.3,381057.6667,6527366.6,535481.5,2799164.3,2191009.233,1771581.867,415054.4667,1034754.433,72330177.87,3392064.467,2056244.2,1671262.133,4720311.733,2749906.733,1142675.333,9752774,685889.9,3080411.767,2384846.367,3642049.2,1126639.333,768160.1,1652885.933,1827924.067,1710629.167,1409002.833,2134319.4,744762.8333,5063003.967,1309578.3,949518.4
2006m12,735270.1333,1973070.45,382851.3333,6532317.9,536640.25,2806952.95,2194417.517,1775310.133,416371.5333,1036702.817,72490524.13,3401432.033,2061200.3,1676082.867,4731029.767,2756420.267,1145822.667,9776001,687899.35,3087010.483,2390296.883,3649472.8,1130410.167,772283.65,1656124.567,1831647.433,1714938.583,1412557.917,2137738.1,746386.4167,5072284.283,1312169.95,951412.1
2007m1,737201.4,1979629.6,384645,6537269.2,537799,2814741.6,2197825.8,1779038.4,417688.6,1038651.2,72650870.4,3410799.6,2066156.4,1680903.6,4741747.8,2762933.8,1148970,9799228,689908.8,3093609.2,2395747.4,3656896.4,1134181,776407.2,1659363.2,1835370.8,1719248,1416113,2141156.8,748010,5081564.6,1314761.6,953305.8
2007m2,739132.6667,1986188.75,386438.6667,6542220.5,538957.75,2822530.25,2201234.083,1782766.667,419005.6667,1040599.583,72811216.67,3420167.167,2071112.5,1685724.333,4752465.833,2769447.333,1152117.333,9822455,691918.25,3100207.917,2401197.917,3664320,1137951.833,780530.75,1662601.833,1839094.167,1723557.417,1419668.083,2144575.5,749633.5833,5090844.917,1317353.25,955199.5
