ANO,MES_NUM,MES,AGUASCALIENTES,BAJA CALIFORNIA,BAJA CALIFORNIA SUR,CAMPECHE,COAHUILA,COLIMA,CHIAPAS,CHIHUAHUA,CIUDAD DE MEXICO,DURANGO,GUANAJUATO,GUERRERO,HIDALGO,JALISCO,MEXICO,MICHOACAN,MORELOS,NAYARIT,NUEVO LEON,OAXACA,PUEBLA,QUERETARO,QUINTANA ROO,SAN LUIS POTOSI,SINALOA,SONORA,TABASCO,TAMAULIPAS,TLAXCALA,VERACRUZ,YUCATAN,ZACATECAS
2005,4,ABRIL,1071395,2859999.05,518412.8,758115.55,2507859.55,572123.95,4318615.05,3249695.05,8727424.2,1515307.85,4923440,3128880.3,2361489.2,6782041.45,14065913.35,3985321.2,1621115.4,956448.75,4222000.3,3521578.05,5402967.8,1609628.9,1144822.45,2419169.2,2616407.95,2408241.95,2002400.7,3036453.8,1073293.45,7136863,1825779.45,1373840.8
2005,5,MAYO,1073388,2865175.733,520493.7333,759244.0667,2512079.4,573499.9333,4327000.4,3252445.4,8729593.6,1517371.467,4933316,3133439.733,2366814.267,6792017.6,14085386.13,3991737.267,1623854.2,958703.6667,4229569.733,3526497.067,5409579.4,1613458.867,1147993.6,2422087.6,2619063.267,2412702.267,2006544.6,3040525.733,1074988.933,7145746,1828056.6,1375890.4
2005,6,JUNIO,1075381,2870352.417,522574.6667,760372.5833,2516299.25,574875.9167,4335385.75,3255195.75,8731763,1519435.083,4943192,3137999.167,2372139.333,6801993.75,14104858.92,3998153.333,1626593,960958.5833,4237139.167,3531416.083,5416191,1617288.833,1151164.75,2425006,2621718.583,2417162.583,2010688.5,3044597.667,1076684.417,7154629,1830333.75,1377940
2005,7,JULIO,1077374,2875529.1,524655.6,761501.1,2520519.1,576251.9,4343771.1,3257946.1,8733932.4,1521498.7,4953068,3142558.6,2377464.4,6811969.9,14124331.7,4004569.4,1629331.8,963213.5,4244708.6,3536335.1,5422802.6,1621118.8,1154335.9,2427924.4,2624373.9,2421622.9,2014832.4,3048669.6,1078379.9,7163512,1832610.9,1379989.6
2005,8,AGOSTO,1079367,2880705.783,526736.5333,762629.6167,2524738.95,577627.8833,4352156.45,3260696.45,8736101.8,1523562.317,4962944,3147118.033,2382789.467,6821946.05,14143804.48,4010985.467,1632070.6,965468.4167,4252278.033,3541254.117,5429414.2,1624948.767,1157507.05,2430842.8,2627029.217,2426083.217,2018976.3,3052741.533,1080075.383,7172395,1834888.05,1382039.2
2005,9,SEPTIEMBRE,1081360,2885882.467,528817.4667,763758.1333,2528958.8,579003.8667,4360541.8,3263446.8,8738271.2,1525625.933,4972820,3151677.467,2388114.533,6831922.2,14163277.27,4017401.533,1634809.4,967723.3333,4259847.467,3546173.133,5436025.8,1628778.733,1160678.2,2433761.2,2629684.533,2430543.533,2023120.2,3056813.467,1081770.867,7181278,1837165.2,1384088.8
2005,10,OCTUBRE,1083353,2891059.15,530898.4,764886.65,2533178.65,580379.85,4368927.15,3266197.15,8740440.6,1527689.55,4982696,3156236.9,2393439.6,6841898.35,14182750.05,4023817.6,1637548.2,969978.25,4267416.9,3551092.15,5442637.4,1632608.7,1163849.35,2436679.6,2632339.85,2435003.85,2027264.1,3060885.4,1083466.35,7190161,1839442.35,1386138.4
2005,11,NOVIEMBRE,1085346,2896235.833,532979.3333,766015.1667,2537398.5,581755.8333,4377312.5,3268947.5,8742610,1529753.167,4992572,3160796.333,2398764.667,6851874.5,14202222.83,4030233.667,1640287,972233.1667,4274986.333,3556011.167,5449249,1636438.667,1167020.5,2439598,2634995.167,2439464.167,2031408,3064957.333,1085161.833,7199044,1841719.5,1388188
2005,12,DICIEMBRE,1087339,2901412.517,535060.2667,767143.6833,2541618.35,583131.8167,4385697.85,3271697.85,8744779.4,1531816.783,5002448,3165355.767,2404089.733,6861850.65,14221695.62,4036649.733,1643025.8,974488.0833,4282555.767,3560930.183,5455860.6,1640268.633,1170191.65,2442516.4,2637650.483,2443924.483,2035551.9,3069029.267,1086857.317,7207927,1843996.65,1390237.6
2006,1,ENERO,1089332,2906589.2,537141.2,768272.2,2545838.2,584507.8,4394083.2,3274448.2,8746948.8,1533880.4,5012324,3169915.2,2409414.8,6871826.8,14241168.4,4043065.8,1645764.6,976743,4290125.2,3565849.2,5462472.2,1644098.6,1173362.8,2445434.8,2640305.8,2448384.8,2039695.8,3073101.2,1088552.8,7216810,1846273.8,1392287.2
2006,2,FEBRERO ,1091325,2911765.883,539222.1333,769400.7167,2550058.05,585883.7833,4402468.55,3277198.55,8749118.2,1535944.017,5022200,3174474.633,2414739.867,6881802.95,14260641.18,4049481.867,1648503.4,978997.9167,4297694.633,3570768.217,5469083.8,1647928.567,1176533.95,2448353.2,2642961.117,2452845.117,2043839.7,3077173.133,1090248.283,7225693,1848550.95,1394336.8
2006,3,MARZO,1093318,2916942.567,541303.0667,770529.2333,2554277.9,587259.7667,4410853.9,3279948.9,8751287.6,1538007.633,5032076,3179034.067,2420064.933,6891779.1,14280113.97,4055897.933,1651242.2,981252.8333,4305264.067,3575687.233,5475695.4,1651758.533,1179705.1,2451271.6,2645616.433,2457305.433,2047983.6,3081245.067,1091943.767,7234576,1850828.1,1396386.4
2006,4,ABRIL,1095311,2922119.25,543384,771657.75,2558497.75,588635.75,4419239.25,3282699.25,8753457,1540071.25,5041952,3183593.5,2425390,6901755.25,14299586.75,4062314,1653981,983507.75,4312833.5,3580606.25,5482307,1655588.5,1182876.25,2454190,2648271.75,2461765.75,2052127.5,3085317,1093639.25,7243459,1853105.25,1398436
2006,5,MAYO,1097304,2927295.933,545464.9333,772786.2667,2562717.6,590011.7333,4427624.6,3285449.6,8755626.4,1542134.867,5051828,3188152.933,2430715.067,6911731.4,14319059.53,4068730.067,1656719.8,985762.6667,4320402.933,3585525.267,5488918.6,1659418.467,1186047.4,2457108.4,2650927.067,2466226.067,2056271.4,3089388.933,1095334.733,7252342,1855382.4,1400485.6
2006,6,JUNIO,1099297,2932472.617,547545.8667,773914.7833,2566937.45,591387.7167,4436009.95,3288199.95,8757795.8,1544198.483,5061704,3192712.367,2436040.133,6921707.55,14338532.32,4075146.133,1659458.6,988017.5833,4327972.367,3590444.283,5495530.2,1663248.433,1189218.55,2460026.8,2653582.383,2470686.383,2060415.3,3093460.867,1097030.217,7261225,1857659.55,1402535.2
